Tipo,Projeto,Cliente Final,Status,Valor Geral,EPC_Type,EPC
UFV,da Solatio,Sem cliente final,2025,0.0,EPC5, 
UFV,Humaita,Ibvgot,2025,3933497.83,EPC5, 
UFV,Lagoa  ,EDPR,2025,4479498.35,EPC5, 
UFV,Lagoa do Sol I a V,Enel Green Power,2025,3861257.66,EPC5, 
UFV,Sagarana,Essentia,2025,9910163.59,EPC5,AG
UFV,Sol do Araripe,Auren,2025,4396545.58,EPC5, 
UFV,Sol do Piauí ll,Auren,2025,2741894.32,EPC5, 
UFV,Sol do Piauí lll,Auren,2025,2779684.49,EPC5, 
EOL,Aroeira,Sem cliente final,Sem Previsão,0.0,EPC5, 
EOL,Brejinhos ,Sem cliente final,Sem Previsão,0.0,EPC5, 
UFV,Caatinga 23 (GD?),Helexia,Sem Previsão,0.0,EPC5, 
EOL ,Cajuína,Sem cliente final,Sem Previsão,0.0,EPC5, 
UFV ,Coração de Maria (GD?),Helexia,Sem Previsão,0.0,EPC5, 
EOL,Coxilha Negra,Eletrobrás,Sem Previsão,0.0,EPC5, 
UFV,Cristalina,X-Elio,Sem Previsão,5838264.66,EPC5, 
UFV,Fenix,EDPR,Sem Previsão,8699635.5,EPC5, 
OUT,Fenix Alimentação Autônoma,EDPR,Sem Previsão,5918711.39,EPC5, 
UFV ,Fótons de São Zacarias,Sem cliente final,Sem Previsão,3521143.23,EPC5, 
UFV,Genesis,Pontoon,Sem Previsão,4209413.37,EPC5, 
SE,Luziânia,StateGrid,Sem Previsão,1954877.52,EPC5, 
UFV,Mauriti,PowerChina,Sem Previsão,12877386.28,EPC5, 
UFV,Minas do Sol,EDPR,Sem Previsão,4581225.21,EPC5, 
EOL,Passagens,Sem cliente final,Sem Previsão,0.0,EPC5, 
EOL,Pedra Pintada,Enel,Sem Previsão,0.0,EPC5, 
SE,Piaui Níquel,Sem cliente final,Sem Previsão,1347322.4,EPC5, 
UFV,Serena,Sem cliente final,Sem Previsão,2490716.73,EPC5, 
UFV,Serra da Babilônia,Rio Energy,Sem Previsão,3606482.02,EPC5, 
EOL,Serra das Vacas,Sem cliente final,Sem Previsão,0.0,EPC5, 
EOL,Serra do Assuruá,Engie,Sem Previsão,0.0,EPC5, 
UFV ,Sol 345,Serena,Sem Previsão,2490716.73,EPC5, 
UFV,Sol de Várzea,Matrix,Sem Previsão,2225674.49,EPC5, 
TUN,Túnel Piraí,Light ,Sem Previsão,155887.24,EPC5, 
EOL,Ventos de Santa Luzia,Sem cliente final,Sem Previsão,0.0,EPC5, 
EOL,Ventos de São Roque,Sem cliente final,Sem Previsão,0.0,EPC5, 
EOL,Ventos de São Zacarias,Sem cliente final,Sem Previsão,0.0,EPC5, 
